0.00124596,0.000341765,0.000648682,0.100711,0.100781,0.10073,0.10016,0.10016,0.10016,0.101986,0.101839,0.101984,0.0256535,0.101865,0.0124009
0.0011715,0.000321619,0.000557712,0.100751,0.10083,0.100767,0.100181,0.100181,0.100181,0.101868,0.101479,0.102031,0.0224672,0.0991792,0.0116142
0.00114227,0.000316818,0.000531001,0.100793,0.100882,0.100809,0.100203,0.100203,0.100203,0.101516,0.100698,0.101943,0.021055,0.0982454,0.0112537
0.00112875,0.00031681,0.000523688,0.100836,0.100935,0.100853,0.100226,0.100226,0.100226,0.10088,0.0994541,0.101691,0.0202867,0.0979063,0.0110647
0.00112344,0.000318614,0.000524474,0.100879,0.100989,0.100897,0.100251,0.100251,0.100251,0.0999587,0.0977639,0.101267,0.0198166,0.097821,0.010966
0.00112433,0.000320879,0.00052918,0.100923,0.101044,0.100941,0.100276,0.100277,0.100276,0.0988084,0.0956906,0.100664,0.0194764,0.097874,0.0109344
0.00112767,0.000323391,0.000537186,0.100966,0.101099,0.100986,0.100303,0.100304,0.100304,0.0974448,0.0933207,0.0999297,0.0192469,0.0979742,0.010932
0.00113359,0.000325798,0.000546978,0.10101,0.101154,0.101031,0.100332,0.100332,0.100332,0.0959494,0.0907498,0.0990811,0.0190763,0.0980873,0.0109548
0.00113933,0.000328256,0.000559311,0.101054,0.10121,0.101076,0.100361,0.100361,0.100361,0.0943013,0.0880638,0.0982096,0.0189882,0.0982098,0.0109754
0.00114832,0.000330289,0.000572153,0.101098,0.101267,0.101122,0.100392,0.100392,0.100392,0.0926958,0.0853394,0.0972399,0.0188953,0.0983298,0.0110242
0.00115723,0.000332271,0.000586676,0.101142,0.101324,0.101167,0.100424,0.100424,0.100424,0.0910394,0.082632,0.0962987,0.0188493,0.0984467,0.0110702
0.00116632,0.000334136,0.000602664,0.101186,0.101383,0.101213,0.100457,0.100458,0.100457,0.0893827,0.079983,0.0953906,0.0188332,0.0985635,0.0111155
0.00117704,0.000335796,0.000619281,0.10123,0.101442,0.101259,0.100492,0.100492,0.100492,0.0878188,0.0774213,0.0944715,0.0188196,0.0986724,0.0111712
0.00118927,0.000337272,0.000636432,0.101274,0.101502,0.101306,0.100528,0.100528,0.100528,0.0863612,0.0749639,0.0935474,0.0188042,0.0987731,0.0112367
0.00120151,0.000338716,0.000654827,0.101318,0.101562,0.101352,0.100565,0.100565,0.100565,0.084939,0.0726194,0.0926914,0.0188072,0.0988754,0.0113
0.00121302,0.00034017,0.000674767,0.101363,0.101623,0.101398,0.100603,0.100604,0.100603,0.0835217,0.0703911,0.0919352,0.0188351,0.0989833,0.0113547
0.0012249,0.000341583,0.000695686,0.101407,0.101685,0.101446,0.100643,0.100643,0.100643,0.0821696,0.0682786,0.0912298,0.0188737,0.0990917,0.0114073
0.00123952,0.00034286,0.000716306,0.101451,0.101747,0.101493,0.100684,0.100684,0.100684,0.081006,0.0662794,0.0904634,0.0188946,0.0991881,0.011475
0.00125357,0.000344157,0.000738378,0.101495,0.10181,0.10154,0.100726,0.100727,0.100726,0.0798534,0.0643881,0.0897914,0.0189308,0.0992888,0.0115367
0.00126585,0.000345497,0.000762439,0.10154,0.101875,0.101587,0.10077,0.10077,0.10077,0.0786508,0.0625996,0.0892598,0.0189932,0.0994014,0.0115818
